tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-12,Minyakita,15000.0,0.0,5,lt,Minyak Sawit
2024-02-12,Pisang Lokal,16667.0,3036.8,5,kg,Pisang
2024-02-12,Sawi Hijau,8900.0,1024.7,5,kg,Sawi Hijau
2024-02-12,Susu Bubuk,42625.0,530.3,2,400gr,Susu
2024-02-12,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-12,Susu Kental Manis,13660.0,2336.4,5,370gr,Susu
2024-02-12,Tahu Putih,11400.0,894.4,5,kg,Kedelai
2024-02-12,Telur Ayam Kampung,56733.0,10248.0,5,kg,Telur Ayam
2024-02-12,Telur Ayam Ras,26967.0,74.5,5,kg,Telur Ayam
2024-02-12,Tempe Bungkus,14600.0,2043.3,5,kg,Kedelai
2024-02-12,Tepung Terigu,10767.0,1127.9,5,kg,Tepung Terigu
2024-02-12,Tomat,22600.0,1816.6,5,kg,Tomat
2024-02-12,Udang Basah,78133.0,5495.5,5,kg,Udang
2024-02-13,Bawang Bombai,25533.0,2754.8,5,kg,Bawang
2024-02-13,Bawang Merah,27600.0,4878.5,5,kg,Bawang
2024-02-13,Bawang Putih Honan,33867.0,1192.6,5,kg,Bawang
2024-02-13,Bawang Putih Kating,39667.0,849.8,5,kg,Bawang
2024-02-13,Beras Khusus,22167.0,707.1,2,kg,Beras
2024-02-13,Beras Medium,14522.0,959.3,5,kg,Beras
2024-02-13,Beras Premium,16144.0,1181.5,3,kg,Beras
2024-02-13,Beras SPHP Bulog,10900.0,70.7,5,kg,Beras
2024-02-13,Cabai Merah Besar,80333.0,8778.1,5,kg,Cabai
2024-02-13,Cabai Merah Keriting,56467.0,14574.7,5,kg,Cabai
2024-02-13,Cabai Rawit Hijau,36067.0,3810.8,5,kg,Cabai
2024-02-13,Cabai Rawit Merah,49333.0,1649.9,5,kg,Cabai
2024-02-13,Daging Ayam Kampung,98600.0,10358.6,5,ekor,Daging Ayam
2024-02-13,Daging Ayam Ras,35400.0,434.6,5,kg,Daging Ayam
2024-02-13,Daging Sapi Paha Belakang,132000.0,2738.6,5,kg,Daging Ruminansia
2024-02-13,Daging Sapi Paha Depan,125000.0,14142.1,5,kg,Daging Ruminansia
2024-02-13,Daging Sapi Sandung Lamur,93333.0,17360.6,5,kg,Daging Ruminansia
2024-02-13,Daging Sapi Tetelan,67917.0,19311.1,4,kg,Daging Ruminansia
2024-02-13,Garam Halus,12600.0,2190.9,5,kg,Garam
2024-02-13,Gula Pasir Curah,16800.0,273.9,5,kg,Gula
2024-02-13,Gula Pasir Kemasan,17600.0,651.9,5,kg,Gula
2024-02-13,Ikan Bandeng,37733.0,5918.0,5,kg,Ikan
2024-02-13,Ikan Kembung,33667.0,471.4,2,kg,Ikan
2024-02-13,Ikan Teri,55667.0,14600.2,5,kg,Ikan
2024-02-13,Ikan Tongkol,33400.0,2681.2,5,kg,Ikan
2024-02-13,Jagung Lokal Pipilan,10667.0,471.4,2,kg,Jagung
2024-02-13,Jeruk Lokal,21783.0,2027.2,5,kg,Jeruk
2024-02-13,Kacang Hijau,21600.0,1362.2,5,kg,Kacang-Kacangan
2024-02-13,Kacang Panjang,8600.0,1140.2,5,kg,Kacang Panjang
2024-02-13,Kacang Tanah,28600.0,1831.8,5,kg,Kacang-Kacangan
2024-02-13,Kangkung,8000.0,1581.1,5,kg,Kangkung
2024-02-13,Kedelai Impor,13117.0,2042.6,5,kg,Kedelai
2024-02-13,Kedelai Lokal,14444.0,4857.2,3,kg,Kedelai
2024-02-13,Kentang Sedang,20000.0,1224.7,5,kg,Kentang
2024-02-13,Ketela Pohon,6000.0,707.1,5,kg,Ketela Pohon
2024-02-13,Ketimun Sedang,7820.0,1145.4,5,kg,Ketimun
2024-02-13,Mie Instan,3080.0,178.9,5,bks,Mie Instan
2024-02-13,Minyak Goreng Sawit Curah,15400.0,547.7,5,lt,Minyak Sawit
2024-02-13,Minyak Goreng Sawit Kemasan Premium,18000.0,0.0,5,lt,Minyak Sawit
2024-02-13,Minyakita,15000.0,0.0,5,lt,Minyak Sawit
2024-02-13,Pisang Lokal,17067.0,2890.6,5,kg,Pisang
2024-02-13,Sawi Hijau,9100.0,894.4,5,kg,Sawi Hijau
2024-02-13,Susu Bubuk,42625.0,530.3,2,400gr,Susu
2024-02-13,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-13,Susu Kental Manis,13660.0,2336.4,5,370gr,Susu
2024-02-13,Tahu Putih,11400.0,894.4,5,kg,Kedelai
2024-02-13,Telur Ayam Kampung,54800.0,9523.7,5,kg,Telur Ayam
2024-02-13,Telur Ayam Ras,27300.0,462.5,5,kg,Telur Ayam
2024-02-13,Tempe Bungkus,14600.0,2043.3,5,kg,Kedelai
2024-02-13,Tepung Terigu,10767.0,1127.9,5,kg,Tepung Terigu
2024-02-13,Tomat,23000.0,2000.0,5,kg,Tomat
2024-02-13,Udang Basah,78067.0,5464.0,5,kg,Udang
2024-02-15,Bawang Bombai,27667.0,3423.8,5,kg,Bawang
2024-02-15,Bawang Merah,28600.0,4722.3,5,kg,Bawang
2024-02-15,Bawang Putih Honan,34067.0,830.0,5,kg,Bawang
2024-02-15,Bawang Putih Kating,39933.0,722.6,5,kg,Bawang
